1695;R CASEMIRO DE ABREU 38;;-51.20836267539000000;-30.03108390572600000
1696;R MARIANTE 180;3222-3560;-51.20432167539000000;-30.02891290572600000
1697;PCA JULIO DE CASTILHOS 19;3222-5845;-51.20754667539000000;-30.02861790572600000
1698;R SANTO INACIO 96;;-51.20641567539000000;-30.02458890572600000
1699;R DR FLORENCIO YGARTUA 391;;-51.20312267539000000;-30.02891390572600000
1700;R VINTE QUATRO DE OUTUBRO 474;3222-1990;-51.20314967539000000;-30.02652490572600000
1701;R PADRE CHAGAS 242;3222-7481;-51.20320367539000000;-30.02503090572600000
1702;AV GOETHE S/N;;-51.20023867539000000;-30.02853290572600000
1703;R VINTE QUATRO DE OUTUBRO 722;;-51.20093367539000000;-30.02471490572600000
1704;R HOFFMANN 710;3222-8176;-51.20781967539000000;-30.02139690572600000
1705;R DR JOSE FERREIRA DA SILVA 100;;-51.18760667539000000;-30.06262290572600000
1706;TRAV CARMEN 21;;-51.20482667539000000;-30.01868690572600000
1707;R FELIX DA CUNHA 1099;3222-0874;-51.20188267539000000;-30.02370290572600000
1708;AV FRANCISCO PETUCO 45;;-51.17602567539000000;-30.01892990572600000
1709;R FELIX DA CUNHA 561;3222-2290;-51.20240267539000000;-30.01827490572600000
1710;R VICENTE DA FONTOURA 1500;3223-4312;-51.20012867539000000;-30.04784390572600000
1711;R SANTA CECILIA 1143;3331-0649;-51.19863567539000000;-30.04493190572600000
1712;R CEL LUCAS DE OLIVEIRA 845;;-51.19442667539000000;-30.02996790572600000
1713;AV PLINIO BRASIL MILANO 1120;;-51.18020567539000000;-30.02050690572600000
1714;AV DOM PEDRO II 592;;-51.18797698031100000;-30.01270011132600000
1715;R PROFESSOR ALVARO ALVIM 400;3331-0524;-51.19807867539000000;-30.03743990572600000
1716;R CABRAL 1009;;-51.19857167539000000;-30.03484090572600000
1717;R CEL BORDINI 1270;;-51.19603367539000000;-30.03318990572600000
1718;AV NEUSA GOULART BRIZOLA 2629;;-51.19582067539000000;-30.03895690572600000
1719;R MONTEIRO LOBATO 236;;-51.19718167539000000;-30.05413690572600000
1720;R FARIA SANTOS 589;;-51.19109167539000000;-30.04802190572600000
1721;R JOAO ABBOTT 12;3331-1212;-51.18964767539000000;-30.04293590572600000
1722;R AMELIA TELLES 392;;-51.19083467539000000;-30.03871690572600000
1723;AV LAJEADO 507;3332-8343;-51.18404567539000000;-30.03938390572600000
1724;AV IPIRANGA 1801;;-51.21216967539000000;-30.04757690572600000
1725;R SIOMA BREITMAN 495;;-51.18504667539000000;-30.03468290572600000
1726;R GAL LIMA E SILVA 606;;-51.22102767539000000;-30.03867190572600000
1727;R TITO LIVIO ZAMBECARI;;-51.19442967539000000;-30.02868590572600000
1728;AV INDEPENDENCIA 155;3212-5526;-51.22151267539000000;-30.02982090572600000
1729;R CEL BORDINI 509;3342-5319;-51.19682967539000000;-30.02290690572600000
1730;R QUINTINO BOCAIUVA 136;3342-7366;-51.19808067539000000;-30.01904690572600000
1731;R GAL LIMA E SILVA 200;;-51.22476367539000000;-30.03579190572600000
1732;R VINTE QUATRO DE OUTUBRO 1427;;-51.19415567539000000;-30.02215490572600000
1733;AV MARILAND 815;3342-4398;-51.19391067539000000;-30.02214390572600000
1734;AV MARILAND 431;;-51.19432667539000000;-30.01853390572600000
1735;R GAL JOAO TELLES 10;;-51.21187367539000000;-30.02974290572600000
1736;R SILVA JARDIM 581;3331-2612;-51.18994167539000000;-30.02719690572600000
1737;R AUXILIADORA 268;3342-9620;-51.19097567539000000;-30.02185790572600000
1738;AV CRISTOVAO COLOMBO 3187;3342-1733;-51.18848167539000000;-30.01762990572600000
1739;R BERNARDINO SILVEIRA DE AMORIM 3450;;-51.09679667539000000;-30.00590690572600000
1740;TRAVESSA DO CARMO 84;;-51.22599267539000000;-30.03850590572600000
1741;R FLAVIO PAUL 10;;-51.17040567539000000;-30.05277690572600000
1742;R GAL LIMA E SILVA 1100;;-51.21755067539000000;-30.04210890572600000
1743;R RAMALHETE 528;3339-1241;-51.17687767539000000;-30.06746890572600000
1744;R TENENTE ALPOIM 39;3315-3504;-51.18228467539000000;-30.06530490572600000
1745;R CEL GENUINO 342;;-51.22799467539000000;-30.03684590572600000
1746;R DONA FIRMINA 11;;-51.17104267539000000;-30.06202890572600000
1747;AV IPIRANGA 6690;3336-5921;-51.17360867539000000;-30.05473290572600000
1748;AV IPIRANGA 6681;3339-1133;-51.17246367539000000;-30.05659990572600000
1749;R PRIMEIRO DE SETEMBRO 10;3336-5993;-51.16451867539000000;-30.06241690572600000
1750;R ALBION 111;3336-0034;-51.16414167539000000;-30.06167390572600000
1751;AV CUBANOS 303;3336-5323;-51.16562467539000000;-30.05904690572600000
1752;R SAO GUILHERME 6;;-51.16138067539000000;-30.06288290572600000
1753;AV CRISTOVAO COLOMBO 2110;;-51.20003667539000000;-30.01807290572600000
1754;R FELICISSIMO DE AZEVEDO 1020;;-51.18861267539000000;-30.01778090572600000
1755;AV PROTASIO ALVES 2657;3334-3123;-51.18249567539000000;-30.04343090572600000
1756;R CAJU 23;;-51.18205067539000000;-30.04349790572600000
1757;AV PALMIRA GOBBI 990;;-51.18910867539000000;-29.97805490572600000
1758;R ALFA 55;3334-4212;-51.17323067539000000;-30.03884090572600000
1759;R LUIZ VOELKER 281;;-51.17134267539000000;-30.03691990572600000
1760;R SAO SIMAO 66;;-51.16922767539000000;-30.04122090572600000
1761;AV PLINIO BRASIL MILANO 1080;3328-7880;-51.18042067539000000;-30.02058490572600000
1762;R ANITA GARIBALDI 1985;3328-1891;-51.17596967539000000;-30.02307490572600000
1763;R IRMAO JOSE OTAO 190;;-51.21639067539000000;-30.03074890572600000
1764;R LIBERO BADARO 420;;-51.17122867539000000;-30.02141090572600000
1765;R MARCILIO DIAS 1565;;-51.21324167539000000;-30.05062990572600000
1766;R PROFESSOR ABILIO AZAMBUJA;;-51.16679267539000000;-30.04807490572600000
1767;R ARI MARINHO 297;;-51.17900367539000000;-30.01325990572600000
1768;R QUINTINO BANDEIRA 118;;-51.20446667539000000;-30.01269190572600000
1769;AV TEIXEIRA MENDES 1309;;-51.16584767539000000;-30.02878690572600000
1770;AV JOAO WALLIG 1800;3334-5545;-51.16220967539000000;-30.02782290572600000
1771;AV TULIO DE ROSE 80;3328-0403;-51.16195667539000000;-30.02286490572600000
1772;R CIPO 270;;-51.16127667539000000;-30.02034490572600000
1773;R SAPE 525;3361 4088;-51.15891567539000000;-30.01797890572600000
1774;R ENG WALTER BOEHL 285;3344-5513;-51.15384867539000000;-30.02240590572600000
1775;AV ANTONIO CARVALHO 44;3336-5841;-51.15045067539000000;-30.06556690572600000
1776;AV ANTONIO CARVALHO 450;;-51.14986467539000000;-30.06354790572600000
1777;CEFER II RUA UM;;-51.14713267539000000;-30.05368090572600000
1778;AV BORGES DE MEDEIROS 3120;3233-3340;-51.23012467539000000;-30.05504890572600000
1779;AV OTAVIO SANTOS 110;3386-1040;-51.14532867539000000;-30.04288590572600000
1780;R VEADOR PORTO 795;;-51.19688367539000000;-30.04884090572600000
1781;R DA REPUBLICA 257;3225-5211;-51.22233267539000000;-30.03803290572600000
1782;AV SATURNINO DE BRITO 1627;3334-9309;-51.15064367539000000;-30.02759590572600000
1783;R ADROALDO MESQUITA DA COSTA 10;;-51.13131967539000000;-30.00066990572600000
1784;R PELOTAS 160;;-51.21356867539000000;-30.02256990572600000
1785;AV ANTONIO GIUDICE 115;3386-4644;-51.12414767539000000;-30.03929190572600000
1786;R DEMETRIO RIBEIRO 551;;-51.23387867539000000;-30.03591390572600000
1787;R VOLUNTARIOS DA PATRIA 3223;;-51.20849567539000000;-30.00629590572600000
1788;R ARNALDO BOHRER 10;;-51.20886067539000000;-30.07928190572600000
1789;R MOURA AZEVEDO 517;;-51.20441267539000000;-30.01146190572600000
1790;R CAMPOS SALES 157;;-51.18376467539000000;-30.02404190572600000
1791;AV SAO PEDRO 550;3343-5512;-51.20382867539000000;-30.01008290572600000
1792;AV BAHIA 1020;3343-5217;-51.20033867539000000;-30.01138790572600000
1793;AV PATRIA 613;;-51.20160867539000000;-30.00621690572600000
1794;AV FREDERICO MENTZ 1561;;-51.20231067539000000;-29.99598490572600000
1795;R ERNESTO DA FONTOURA 1510;3342-9714;-51.19317867539000000;-30.01066290572600000
1796;R DR JOAO INACIO 750;;-51.19894367539000000;-30.00217290572600000
1797;AV SERTORIO 615;;-51.19884667539000000;-30.00008490572600000
1798;R DR JOAO INACIO 1366;;-51.19247467539000000;-30.00339190572600000
1799;AV PRAIA DE BELAS 2254;;-51.22980067539000000;-30.05864490572600000
1800;R CANCIO GOMES 372;;-51.20896767539000000;-30.01731390572600000
1801;R AUGUSTO SEVERO 15;3362-1213;-51.18903567539000000;-30.00717490572600000
1802;AV ASSIS BRASIL 200;3343-5607;-51.18575467539000000;-30.00741590572600000
